ID;NUMERO;TITULO;personagem;editora
11;24;"MEMORIA APAGADA";"WOLVERINE";"MARVEL COMICS";"CAPA DOURADA"
12;26;"ENTERRADO VIVO";"WOLVERINE";"MARVEL COMICS"
13;3;"SAMURAIS EM GUERRA";"WOLVERINE";"MARVEL COMICS"
14;39;"CODINOME WOLVERINE";"WOLVERINE";"MARVEL COMICS"
15;44;"MORTE EM FAMILIA";"WOLVERINE";"MARVEL COMICS"
1;1;"A MORTE DO SUPERMAN";SUPERMAN;"DC COMICS"
2;2;"A MORTE DO SUPERMAN";SUPERMAN;"DC COMICS"
3;3;"A MORTE DO SUPERMAN";SUPERMAN;"DC COMICS"
4;2002;"CORPORACAO DO SUPERMAN";SUPERMAN;"DC COMICS"
5;0;"O ULTIMO FILHO";SUPERMAN;"DC COMICS"
6;0;"A MORTE DO ROBIN";BATMAN;"DC COMICS"
7;0;"A MASCARA DA MORTE";BATMAN;"DC COMICS"
8;1;"A ORIGEM DO HOMEM QUE VAI DESTRUIR BATMAN";BATMAN;"DC COMICS"
9;0;"A VITORIA DE BANE";BATMAN;"DC COMICS"
10;16;"MORCEGO VERSUS MORCEGO";BATMAN;"DC COMICS"